Titles,w,SD_F_AB_nCi_2_SS1_C_LGP[1;2;6]_a_MAS,MN_B_AB_nCi_2_SS4_T_KA_r-m_MAS,N3_B_AB_nCi_2_NS5_C_NSRW_c-p_MAS,HM_B_AB_nCi_2_SS1_X_LGP[1;2;6]_v-e_MAS,V_F_AB_nCi_2_NS2_T_LGP[2-4]_v_MAS,N2_B_AB_nCi_2_MP6_T_LGP[4-6]_a-r_MAS,S_F_AB_nCi_2_NS4_C_LGP[2-4]_a_MAS,MN_B_AB_nCi_2_NS3_C_LGP[1]_c-p_MAS,P3_F_AB_nCi_2_NS3_C_LGP[1-3]_r_MAS,MX_B_AB_nCi_2_SS3_C_KA_c-p_MAS,N2_B_AB_nCi_2_NS3_C_NSRW_a-c_MAS,E
A_262_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.086567022,0.079488927,2.985777501,1224.636393,18.11711246,1050.156642,0.068842055,-1.904256247,-16.90546956,117.9413913,1.03900105,2.426254801,-12.13
A_263_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.105486002,0.077580735,1.379154332,1000.018046,12.84359164,371.2266424,0.024927346,0.366977158,-11.57955654,106.8382175,0.899462786,2.844981844,-9.37
A_264_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.105486002,0.077580735,1.379154332,1000.018046,12.84359164,371.2266424,0.024927346,0.366977158,-11.57955654,106.8382175,0.899462786,2.844981844,-11.12
A_265_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.079481161,0.127053241,2.513360266,413.5183885,16.978375,0.080257143,0.009287496,-0.436656699,-11.02662327,100.4639404,0.366455495,1.678041696,-16.19
A_267_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.038802771,0.467243899,2.191484065,56.9661233,16.978375,811.2383067,0.074892453,-0.354077784,-8.517033692,32.96143938,0.255256224,1.826464116,-22.3
A_273_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.049636709,0.313283834,2.14909038,250.3503498,14.55289286,647.716875,0.092399793,0.148335052,-11.00234256,45.37561079,0.445308216,2.277234084,-20.22
A_276_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.059452302,0.30583668,2.263339819,667.2206293,16.978375,1560.166988,0.060175233,-1.047537582,-16.23859429,102.5893709,0.423733942,1.117140302,-15.83
A_277_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.070501734,0.15723516,0.792168899,210.6684966,18.44966488,424.1796673,0.026723238,-0.563944305,0,42.13101114,0.404067584,0.824604258,-13.85
A_280_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.058121766,0.025824601,2.454088144,739.6533499,15.80360648,1409.490294,0.023972957,-1.419973856,0,58.81002982,0.949302136,1.228641194,-7.5
A_293_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.076653029,0.281191716,1.105249592,668.4751805,16.45767355,1264.33821,0.048747749,-1.188827674,-16.19616846,108.0163145,0.420190336,1.114076443,-16.25
A_294_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.061954148,0.291752528,2.381516733,668.1303631,16.978375,1536.326322,0.062941209,-0.887679381,-16.19364734,108.0163145,0.419980196,1.114024535,-17
A_295_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.077558957,0.428192982,1.530223852,734.8762128,14.67236531,1910.732752,0.087250398,-0.796847698,-16.04505384,106.5084837,0.841955629,1.844565329,-11.68
A_296_00001,0.073252071,0.048742796,3.4986,69.76975048,27.3771,1061.022044,0,0,-2.816513485,105.099472,-0.01838469,0.833097141,-17.7
A_298_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.063916109,0.287887854,2.381516733,668.6722487,17.81834394,1430.459206,0.060601638,-0.990631562,-16.19761175,108.0163145,0.420310637,1.114052922,-16.84
A_299_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.044757917,0.035945379,2.035842686,346.4968575,15.04308944,344.6489,0.016393018,-3.089185807,-9.346931306,29.71962824,0.098212574,1.612350832,-15.38
A_300_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.053012065,0.041276089,3.536707097,166.3295414,16.25652224,1036.392544,0.071766519,-3.089185807,-16.02640219,61.86238707,0.045380742,1.204540835,-18.15
A_301_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrof,0.076465285,0.035203321,1.106395023,171.4411233,16.23278591,759.8045333,0.044066003,-3.612575855,-16.14892273,61.86238707,0.045568977,1.204236584,-15.89
A_32_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrofi,0.05467542,0.101996822,2.392259639,325.7473412,16.978375,406.407705,0.024694519,-2.205150903,-13.71829195,57.31567871,0.33170043,0.855704442,-19.39
A_33_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrofi,0.058282816,0.131171993,2.241446974,264.7083081,13.19226849,927.9389765,0.030224236,-0.646776883,-0.202004021,48.46922208,0.429142717,1.385476179,-24.69
A_36_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrofi,0.06687514,0.099945478,2.391203829,341.2287779,19.44183938,318.027331,0.019679899,-2.15762332,-21.28907714,57.8120594,0.335025793,0.976161175,-17.64
A_39_00001_D:\Sebastian_2017\otros\san_pancho\Jose_mora\nuevo_proyecto\Electrofi,0.076477699,0.277087144,1.104787437,233.5229229,16.45767355,344.3445941,0.029494911,-2.956255785,-13.01630395,62.37138463,0.390549283,0.961300732,-19.36
