Titles,N3_B_AB_nCi_2_NS5_C_NSRW_c-p_MAS,HM_B_AB_nCi_2_NS1_A_LGP[1;2;6]_r-e_MAS,N3_B_AB_nCi_2_MP3_C_LGP[1]_v-c_MAS,P3_B_AB_nCi_2_SS2_C_LGP[1;2;6]_v-p_MAS,S_B_AB_nCi_2_NS7_C_LGP[1;2;6]_r-c_MAS,MX_B_AB_nCi_2_SS3_C_KA_c-p_MAS,HM_F_AB_nCi_2_SS1_X_LGP[1;2;6]_r_MAS,SIC_TrF_AB_nCi_3_M21(M13)_NS0_T_KA_psa_MID,RA_Tr_AB_nCi_3_M27_SS0_A_KA_a-e-v_MID,w,E
A_275_00001,42.5437212283088,0.0,0.0084070876665419,26.70336231868828,-0.1051842094989299,0.1083921376037677,0.0,0.0,0.0,0.2685126395350522,4.43
A_278_00001,105.0851866226426,0.0,0.0101083038299508,39.231417544007655,0.9618604000428508,0.1617542924768285,0.0,0.0,0.0,0.2580936101188832,0.51
A_279_00001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2483054359487492,-3.72
A_281_00001,-175.37009906538185,5.646518241578916,-0.0650665512108169,65.10191199563573,-2.779348580699491,0.7926002667982367,0.667725946330968,0.2310435023780429,18.93170566170538,0.2156677088938855,-7.0
A_283_00001,-158.5014360626601,6.150174566944594,-0.0642159548369063,71.24200240970242,-2.59983217738401,0.8050304523938115,0.589730405651175,0.5785545803330996,17.344671515572564,0.2279305454980638,-7.3
A_285_00001,-165.98469384268006,6.926954070563541,-0.0974070423303805,66.13753012955343,-1.9151725516184643,0.7730410065016653,0.6075103772295531,0.7331037645502575,17.06441147082152,0.2331057424994061,-6.0
A_286_00001,-206.39089201481235,5.867249741928715,-0.072208436303725,68.16945586441999,-2.656808738060597,0.7728154727452599,0.5947646268103917,0.6797103373454471,17.943652678687684,0.2128197805106399,-8.0
A_288_00001,-207.2651386752262,6.60344634818214,-0.0635264968432437,70.44615630877416,-2.608282492580072,0.7729457423949465,0.4340317525380973,0.6017290073259896,17.81609493603459,0.2423900211865904,-5.9
A_289_00001,-206.1471975377613,6.141634176657389,-0.0733401610764253,66.2197397233481,-2.5873272359133543,0.7727569794208738,0.5328965935612894,0.6439795029551799,17.50923988873602,0.2123296745607808,-7.2
A_29_00001,117.49827674946408,5.941328981285577,-0.0185894183476239,43.4796279942592,0.2276720088108147,0.1804059378983641,0.9411038480689708,0.5095813042230656,6.615754096853738,0.2051195820783763,-11.26
A_3_00001,21.70886504307564,0.0,0.0059066952455133,35.937294756618144,-0.1813209869601981,0.0688426296914688,0.0,0.0,0.0,0.2636684555737599,6.04
A_30_00001,111.73709755189356,5.313362042045034,-0.0076357935352114,36.38776955851977,0.5554236479522421,0.2459058433009608,0.8614704369242033,0.1569388022684354,5.646740833388437,0.2418999756270415,-1.84
A_34_00001,-249.9198828907712,8.661724772719879,-0.0369918279686916,74.22126955579043,-0.1831788889606383,0.2320948984697147,0.5782818462080273,0.0628814817015675,16.65873798750314,0.2194539142135853,-5.06
A_35_00001,-168.278634921042,8.661724772719879,-0.0414424309656662,47.11778306102436,0.1191840416142438,0.2245981611049527,0.5782818462080273,0.074232373254497,15.591411648816868,0.2250954178738212,-5.15
A_38_00001,-366.8988772779915,6.679906176808458,-0.0794554540562093,65.47210099959905,-3.003250240234973,0.3221953851356122,0.3342385470585289,0.3761022692639283,16.027006627143344,0.2205561674099736,-4.96
A_48_00001,47.548412075053776,1.831061476512192,0.0074711314705874,25.98545946748725,0.4059021032238827,0.1348431322456639,1.17175625,0.0,2.2600786769703967,0.2872857950351729,5.24
A_49_00001,-161.36504702521472,7.998019129504449,-0.0588515526236758,40.2149586268701,-3.529767608644228,0.1539782317890837,0.3975048094031883,0.6139509754537165,14.584336892734171,0.2051389969695567,-8.5
A_51_00001,44.04399739708695,1.831061476512192,0.0076759021769528,28.09288242399509,1.3541825951954387,0.1453425391091254,1.17175625,0.0,2.275492426345486,0.3093043806692279,7.52
A_54_00001,47.95784862093231,5.941328981285578,-0.0256231932756638,38.30774734778199,0.0349718982061247,0.1217327958542401,0.941103848068971,0.6237852349546127,6.501303867097571,0.2138557828499255,-7.02
A_55_00001,50.69503357536387,7.546024556984579,0.0026893308038608,31.30017502338,2.651121788434239,0.1256037401972382,0.6660499999999999,0.3693595593151004,3.660902670129304,0.1973111682068256,-4.72
A_56_00001,74.61392494938472,5.28539982108427,0.0153464742770455,27.755061973088257,1.982533231785544,0.2715342314028343,0.7929589367932237,0.2365574269056764,5.802126204670781,0.2490475178743803,-0.81
A_57_00001,89.92029147400659,5.257730368644029,0.0211688896299013,28.50461108912346,1.1626783639859433,0.2721403019000526,0.7345418814319142,0.24912784878677,5.585441165881811,0.2492764566354127,-1.36
A_59_00001,-53.52402887043292,5.824362210935088,-0.0172797954682789,47.886359108036025,0.480679351185173,0.1583585958954498,0.7056890927523665,0.5455849461633419,6.419754499893304,0.2033940841208396,-9.45
A_6_00001,174.60204422673786,6.166498348671771,-0.0514731866891075,74.72885617293082,-1.977137677157372,0.7931906874082026,0.5422604826164665,0.7354527423360645,15.786910812662711,0.2098164755819702,-5.9
A_60_00001,60.20965589232589,5.824362210935088,-0.0167116729931859,44.318643000083206,0.762726087392525,0.1825988263086786,0.7056890927523665,0.5769083841405817,5.976933348728894,0.2114328507222572,-10.04
A_61_00001,171.55941131844872,2.8884226261795924,0.0753415187863087,32.55807086365144,1.578969621502732,0.6330428976780336,0.8844829673571293,0.5455849461633419,8.698422908763904,0.2417090000059676,-3.85
A_64_00001,75.96089048004232,5.276670873229598,0.0145461536695555,36.4494411530646,0.7240013943028514,0.4420085305482791,0.695126374775544,0.1882723148416401,7.376947124752002,0.2224878414133898,-5.53
A_65_00001,58.17951156051638,6.648215199029376,-0.0105472380595551,29.329609301707567,0.0613654270829077,0.1722261953849404,0.7831450809437419,0.5021419352539085,4.599948718958913,0.2041753921984709,-5.89
A_66_00001,46.48901403061693,6.978179001916038,0.0078853989934501,29.87741882919068,1.217959926175887,0.121619448902164,1.45853125,0.0,6.00845016219753,0.2812946881864054,5.48
A_67_00001,222.00433801944985,2.965057184921989,0.0464089608217339,24.824471565972004,2.0988451697963915,0.765263837860647,0.8051219436758513,0.3933290077473154,5.139548850580311,0.2294473851482419,-3.14
A_69_00001,39.107809829844506,5.824362210935088,-0.0242182495957262,45.14558027783189,0.0869262412002857,0.1510207535053128,0.7056890927523665,0.590269110385355,6.346507910817059,0.2113092527435043,-7.69
A_70_00001,313.6286120220954,1.9141800974697885,0.0736195717952618,24.039952968896525,1.1752989344114202,0.2459225042418843,0.9756075,0.0,3.820368827210885,0.3152678199846105,7.96
A_72_00001,49.14321853651633,5.8822641927255805,-0.0205956373846307,44.392203112647934,0.1828898701158916,0.1764967680918845,0.8089268815130464,0.5783016991906424,6.453673979962197,0.2087548785464336,-8.22
A_73_00001,44.27145695652769,0.0,0.0079988467233413,25.961398343036723,-0.4884250624134396,0.1096908265676762,0.0,0.0,0.0,0.2639371551138001,3.63
A_75_00001,38.27210403438032,0.0,-0.0078181799891742,50.36802643105829,0.0228269120437976,0.1297370233710803,0.0,0.0,0.0,0.2532840929324554,0.98
A_77_00001,41.23775175935337,5.941328981285578,-0.0167555964526394,49.84214960187854,0.4481165963512313,0.1323425053325795,0.941103848068971,0.5455849461633419,5.590445615150131,0.2192816064987527,-8.97
A_78_00001,44.99101609985703,5.313362042045034,-0.0128029558841608,46.76970246667728,0.2394030977429404,0.2461494230143254,0.8614704369242033,0.3733235093510264,5.538224310768001,0.2379174949535255,-2.67
A_8_00001,111.51604170203936,6.978179001916038,0.0098278465141357,40.17980376193337,1.1107166626965033,0.1800560728669746,1.45853125,0.0,2.702890642763887,0.2649066779809146,1.06
A_86_00001,33.032082295352375,0.0,0.0067587266323509,45.11465101917064,-0.1836995295864377,0.0872159203501206,0.0,0.0,0.0,0.277662685356459,6.16
A_89_00001,39.92542945798169,6.978179001916038,0.0123154763019637,61.336759295988166,1.360816510409359,0.1168488639517535,1.45853125,0.0,3.039797090162036,0.2757909278619176,3.2
A_9_00001,122.85974183379432,6.978179001916038,0.0091281355586227,42.0347669832297,1.3409430191194287,0.2153037505145244,1.45853125,0.0,6.026688476480718,0.2731821259088097,1.99
A_90_00001,458.115260809658,5.785189567395494,0.0957540839603886,48.311349975661926,2.703973878400072,0.4643340529263674,0.4641186908249677,0.1961126287193965,19.223270177416648,0.1763818667841852,-11.8
A_91_00001,-274.32892973369235,6.175844897525264,-0.0607716653927027,56.20648268753269,-2.1295236196584986,0.2947631048890256,0.4555543848367025,0.5758686280084411,16.83742418526234,0.2046774837845102,-7.79
A_92_00001,-266.8047573730259,6.716252315462323,-0.07468304547184,53.036805490055656,-1.8633016231509127,0.2879796316565968,0.3363378902158443,0.3866249925706958,15.66982137611454,0.2254964049169681,-2.19
